Pasajeros_por_dia,Viajes_por_dia,Tipo_de_Taxi,DiaSemana,avg_temperature
149385,103306,green,Sábado,26.1375
126083,88076,green,Domingo,24.170833333333334
126293,93738,green,Lunes,23.120833333333334
144623,107424,green,Martes,23.754166666666666
148542,110158,green,Miércoles,24.866666666666664
151021,111826,green,Jueves,25.366666666666664
149783,108210,green,Viernes,25.729166666666668
153206,105324,green,Sábado,24.84583333333333
128605,89586,green,Domingo,24.004166666666666
127034,93582,green,Lunes,24.741666666666664
143662,107502,green,Martes,25.65833333333333
145807,108230,green,Miércoles,24.270833333333332
147997,109365,green,Jueves,23.90833333333333
148563,105658,green,Viernes,21.095833333333335
148675,98910,green,Sábado,21.770833333333332
134859,90169,green,Domingo,23.954166666666666
118380,82380,green,Lunes,24.6125
136337,104476,green,Martes,21.95
158783,121484,green,Miércoles,20.129166666666666
167507,127541,green,Jueves,20.291666666666668
170196,127691,green,Viernes,20.5
167956,119824,green,Sábado,21.099999999999998
141286,103113,green,Domingo,19.983333333333334
146334,113166,green,Lunes,21.766666666666666
157791,124351,green,Martes,22.724999999999998
161853,126518,green,Miércoles,20.770833333333332
166518,130384,green,Jueves,19.329166666666666
170725,128309,green,Viernes,17.141666666666666
80114,61670,green,Sábado,19.620833333333334
2034,5991,green,Domingo,21.45
139583,107858,green,Lunes,23.275000000000002
140306,109089,green,Martes,21.820833333333336
134962,105507,green,Miércoles,20.579166666666666
142805,111694,green,Jueves,20.620833333333334
161219,121721,green,Viernes,14.2125
167425,119653,green,Sábado,13.366666666666667
138421,101025,green,Domingo,16.383333333333333
133060,99153,green,Lunes,17.904166666666665
150847,115517,green,Martes,16.916666666666668
161627,125041,green,Miércoles,15.266666666666666
168229,129253,green,Jueves,15.245833333333332
168545,126298,green,Viernes,13.700000000000001
167254,120181,green,Sábado,13.491666666666667
135561,97497,green,Domingo,13.65
141511,111031,green,Lunes,10.433333333333334
143187,111896,green,Martes,9.816666666666666
154341,116959,green,Miércoles,12.929166666666667
163140,126257,green,Jueves,15.525
170440,127458,green,Viernes,16.620833333333334
176517,124583,green,Sábado,12.929166666666667
140174,99995,green,Domingo,9.958333333333334
131574,96782,green,Lunes,12.204166666666666
159144,121598,green,Martes,13.35
165960,127211,green,Miércoles,14.137500000000001
168750,131226,green,Jueves,16.804166666666667
173255,129792,green,Viernes,15.5
182119,129248,green,Sábado,13.716666666666667
152310,110439,green,Domingo,14.041666666666666
149254,114125,green,Lunes,14.408333333333333
164195,127029,green,Martes,11.525
169349,132281,green,Miércoles,8.0375
173904,134934,green,Jueves,9.0
176155,131775,green,Viernes,10.4625
182285,130339,green,Sábado,11.816666666666668
147976,107714,green,Domingo,12.779166666666667
146503,113807,green,Lunes,13.5
161065,125402,green,Martes,17.504166666666666
169052,131356,green,Miércoles,18.129166666666666
174350,135001,green,Jueves,14.979166666666666
179203,134717,green,Viernes,10.1
180644,130179,green,Sábado,9.454166666666667
150754,110238,green,Domingo,9.895833333333334
136761,103659,green,Lunes,12.341666666666667
156892,122816,green,Martes,14.841666666666667
164665,128681,green,Miércoles,14.683333333333332
173157,133958,green,Jueves,13.491666666666667
178961,133148,green,Viernes,13.320833333333333
187763,132479,green,Sábado,17.754166666666666
146999,106035,green,Domingo,19.383333333333333
149387,114351,green,Lunes,19.691666666666666
156598,123316,green,Martes,11.316666666666668
166872,131135,green,Miércoles,7.595833333333334
173542,135162,green,Jueves,9.887500000000001
